gene_id,gene_name,NCBI_Entrez_id,M1_LS1,D_LS21,A_MK11,D_MK18,A_MK47,A_MK4,D_MK9,DM1_MK45,DM1_MK52,DM1_MK17,AM1_MK36,WT_MK50,WT_MK8,WT_LS27,WT_LS39,WT_LS65,WT_MK13,WT_MK15,WT_MK21,WT_MK39,WT_MK49
ENSG00000000003,TSPAN6,7105,1941,111,948,240,1022,112,543,766,499,418,1194,958,373,1704,1496,404,1317,702,311,157,2649
ENSG00000000005,TNMD,64102,7,0,3,0,0,2,44,2,7,15,1,88,2,1,40,21,10,2,0,0,30
ENSG00000000419,DPM1,8813,3090,1498,2169,1876,1857,2488,1532,1544,1352,1990,1103,918,2292,2096,2624,1487,3476,684,1120,1203,1288
ENSG00000000457,SCYL3,57147,802,636,797,685,854,1847,854,1044,1130,953,1684,799,1268,832,1199,907,2908,920,761,990,1794
ENSG00000000460,C1orf112,55732,279,206,250,256,377,355,208,220,254,376,370,279,197,266,611,368,870,411,201,289,457
ENSG00000000938,FGR,2268,316,113,380,227,189,165,950,173,209,492,376,667,133,95,499,434,6160,54,690,254,937
ENSG00000000971,CFH,3075,2234,390,4269,392,5876,364,6155,1496,5749,4750,5045,6792,686,3435,5048,1705,8077,140,8978,6214,6676
ENSG00000001036,FUCA2,2519,17151,3691,4707,4224,2635,5843,4398,6868,5107,3462,2800,2684,5602,1274,5778,4366,5865,2123,1827,1066,2065
ENSG00000001084,GCLC,2729,4688,5968,2412,3538,2355,3785,2810,4540,3563,3235,4170,1371,6307,2210,1646,3850,4009,1834,1844,1609,2242
ENSG00000001167,NFYA,4800,1214,1549,1311,1038,1050,1405,819,1219,882,1101,945,1326,2035,924,2166,1087,2949,1109,727,1409,1461
ENSG00000001460,STPG1,90529,412,661,1152,512,935,1212,666,289,644,773,683,485,960,474,876,1160,1331,1347,342,961,499
ENSG00000001461,NIPAL3,57185,1471,1755,1622,1506,1862,3492,2135,1232,1389,2516,1942,873,1824,1351,3570,2425,4502,1465,987,5753,1687
ENSG00000001497,LAS1L,81887,3668,2901,2585,3304,4143,2042,3938,5441,3279,4022,4488,3078,2109,5950,3023,2406,3997,5627,3899,2895,4014
ENSG00000001561,ENPP4,22875,3119,3686,3864,2126,4894,3730,2241,4472,2827,3731,5280,1176,6443,5816,3918,6453,6260,2834,2334,3001,1727
ENSG00000001617,SEMA3F,6405,2654,1349,5454,1047,4835,1194,1076,1691,634,4477,1273,3208,319,1217,644,2028,6376,322,699,1204,2701
ENSG00000001626,CFTR,1080,43,40,2603,31,30,3,68,15,7573,104,28,75,2026,28,3796,2,2,38,2560,2,7
ENSG00000001629,ANKIB1,54467,4461,4984,4036,5507,4113,3598,3288,4781,3411,4243,4554,2303,4311,2509,3930,4219,9613,3261,2074,2945,3878
ENSG00000001630,CYP51A1,1595,12169,8879,8324,8527,6315,7414,5447,6806,6459,8955,6866,3114,5761,2981,7910,9620,7271,1338,3622,5392,4105
ENSG00000001631,KRIT1,889,3170,3194,3187,3113,4666,3002,3091,3620,2996,4136,3110,2196,5168,3115,4459,6400,4750,3161,2574,2660,2432
ENSG00000002016,RAD52,5893,380,718,784,632,871,1052,1185,715,710,968,747,1228,455,769,561,1499,1530,1518,786,790,1452
ENSG00000002079,MYH16,84176,3,3,7,4,5,0,5,3,1,8,2,7,3,5,9,1,3,4,4,3,2
ENSG00000002330,BAD,572,3192,2572,3214,2298,1943,2059,2179,2349,1947,2713,2589,1117,2537,2436,2816,1730,5811,4896,2051,2089,2347
ENSG00000002549,LAP3,51056,7467,5349,2235,3630,3018,4605,3512,3532,3306,3836,3700,1779,2553,3485,4439,5373,9564,620,809,1882,2289
ENSG00000002586,CD99,4267,58673,37211,18786,24777,8909,15434,23958,41845,23065,12734,25713,13979,47696,12968,6204,1485,25273,13520,8290,13489,9749
ENSG00000002587,HS3ST1,9957,1522,1152,1236,456,136,295,200,498,614,973,2093,244,50,674,1175,7788,1478,425,267,457,1527
ENSG00000002726,AOC1,26,538,2393,97,24,24,45,388,252,473,21,2664,2849,12,25,98,8,1153,41,1950,6,13
ENSG00000002745,WNT16,51384,0,6,6,146,1,0,8,5,2,8,6,2,4,6,1,3,50,13,5,3,54
ENSG00000002746,HECW1,23072,6,314,10,3,6,1,2,3,31,8,5,52,77,1,42,38,94,14,37,8,377
ENSG00000002822,MAD1L1,8379,1273,751,1383,1003,1142,702,863,1064,668,1575,1464,1944,928,907,1457,800,2749,2729,634,452,1380
ENSG00000002834,LASP1,3927,18194,31284,26026,22387,8830,17920,7960,22946,7742,12150,18997,6668,12896,5981,10794,9157,23878,4458,6668,14777,7363
ENSG00000002919,SNX11,29916,2762,5969,2029,3052,2018,1940,2558,2247,2167,1887,3311,1069,1731,1653,1281,1419,5871,1574,1963,1535,879
ENSG00000002933,TMEM176A,55365,35778,22546,31996,30833,22120,6940,19482,21209,25878,20579,28505,9868,3736,533,1348,302,19113,6755,15463,16087,178
ENSG00000003056,M6PR,4074,10283,25017,16193,17629,10850,7786,8719,19336,7634,10607,17081,4430,7514,10644,7753,11505,20364,4818,4837,7230,6319
ENSG00000003096,KLHL13,90293,648,172,254,438,385,58,415,452,230,347,128,397,1940,264,2194,509,1024,294,440,1941,2673
ENSG00000003137,CYP26B1,56603,250,302,51,227,200,255,67,23,62,107,1970,107,140,82,122,266,266,36,393,161,2124
ENSG00000003147,ICA1,3382,5733,5587,6919,5782,6106,3237,6629,6901,6267,6627,11257,3029,8367,3457,6246,4593,11058,6477,3154,3950,4719
ENSG00000003249,DBNDD1,79007,1448,569,662,1140,648,594,230,684,178,263,627,182,1181,838,1625,558,5157,3283,965,853,1316
ENSG00000003393,ALS2,57679,2976,3379,2125,4220,2042,3322,1782,3543,1858,2204,1851,2145,2198,2504,1729,2222,3335,3769,2392,3313,2793
ENSG00000003400,CASP10,843,359,142,494,212,397,213,447,179,423,476,371,706,122,166,274,413,3485,165,765,272,615
ENSG00000003402,CFLAR,8837,3421,4884,4273,7047,3510,4646,4356,3937,3874,4108,3770,6277,2716,2187,3464,4289,17907,4251,8231,5924,7581
ENSG00000003436,TFPI,7035,703,299,1560,2083,1627,284,1258,316,1468,1979,1392,2881,299,508,952,1038,2643,485,876,1291,1609
ENSG00000003509,NDUFAF7,55471,1041,929,962,1172,1237,1645,1162,1326,717,903,1384,1629,964,1130,1124,1438,1774,2117,1564,1688,1371
ENSG00000003756,RBM5,10181,13188,9061,9422,11063,18293,21318,25670,20506,10648,15977,11848,14518,12795,11533,11993,19896,22384,29019,25059,20924,36063
ENSG00000003987,MTMR7,9108,2569,1934,763,814,906,8746,1082,1596,931,1062,628,2351,2655,1398,583,6705,4116,1217,1920,1807,1189
ENSG00000003989,SLC7A2,6542,18394,13294,8201,10264,13877,80576,29560,45236,17227,24342,11516,9997,42602,22363,69707,36994,20218,15945,9316,3843,4046
ENSG00000004059,ARF5,381,21230,15725,13870,29154,11802,7996,10703,17383,9041,13952,11407,7399,22098,8973,22746,9489,25438,20371,8341,6201,14773
ENSG00000004139,SARM1,23098,4329,14501,3910,6295,5058,6300,5116,7080,4431,5812,10467,4231,3836,4410,6355,4494,10503,3975,4898,6906,2093
ENSG00000004142,POLDIP2,26073,9908,12862,7911,10387,8294,7843,6919,10580,6693,8889,14997,5287,6003,6798,8541,7558,11340,5927,3860,3691,2286
ENSG00000004399,PLXND1,23129,3938,5947,12128,1707,5849,2922,5600,4759,2084,7202,7997,12806,9342,3737,3517,7948,12230,9893,6554,5078,6231
ENSG00000004455,AK2,204,7438,4627,6097,4506,5971,8351,4843,7298,4654,5622,4846,3484,8614,5420,7243,5739,11121,5533,4199,5075,6599
ENSG00000004468,CD38,952,294,32,214,119,54,19,86,55,73,173,142,64,12,43,151,48,3538,27,23,60,103
ENSG00000004478,FKBP4,2288,14425,10558,10278,10183,12436,12904,8700,17993,8960,10970,11235,4412,11125,7353,12720,10029,19841,9714,4585,24654,5930
ENSG00000004487,KDM1A,23028,3325,3242,3759,3746,3902,5371,3308,5135,3015,3816,2707,2451,4946,3633,6133,5791,7946,7251,4539,6156,5655
ENSG00000004534,RBM6,10180,5882,6333,4985,3829,7551,7980,19146,7862,7752,7324,9086,13078,6198,8227,5855,10958,10697,26353,19483,11226,17410
ENSG00000004660,CAMKK1,84254,1204,3606,1486,4397,5078,3464,3765,5224,2864,5294,4045,1284,2172,3871,1007,6090,4744,2475,1239,273,16270
ENSG00000004700,RECQL,5965,2726,2618,2886,2161,2339,2218,1797,3319,1383,2088,2943,1025,1365,1816,2153,2515,5758,490,1115,1149,2050
ENSG00000004766,CCDC132,55610,2367,3197,2112,2481,2340,2170,2034,2692,1806,2515,2160,1619,2484,1610,2420,2812,3844,1954,1146,1499,1681
ENSG00000004776,HSPB6,126393,233,41,2133,82,525,65,4014,49,2584,2658,917,4731,1542,556,3262,8560,7133,384,4545,1735,6432
ENSG00000004777,ARHGAP33,115703,2047,1858,1378,1664,2404,2137,4400,2675,2060,3189,1899,3138,938,2333,2821,2074,2231,12765,9583,5559,7806
ENSG00000004779,NDUFAB1,4706,4522,2125,3431,2989,2165,3336,2231,3857,2363,2690,2404,1666,7681,1856,6539,3412,6761,2889,1893,2438,2838
ENSG00000004799,PDK4,5166,61758,90887,8344,16224,91101,45289,204405,57022,193146,93922,122520,11374,25922,88135,148395,327180,41645,28810,11714,21819,4042
ENSG00000004809,SLC22A16,85413,17,96,6,8,6,392,39,31,14,59,9,23,1,3,4,5,61,3,3,0,10
ENSG00000004838,ZMYND10,51364,138,53,1768,47,2273,495,376,154,512,1367,104,103,63,195,516,181,313,493,244,208,246
ENSG00000004846,ABCB5,340273,2,1,27,4,0,0,0,2,1,3,12,4,0,3,5,3,24,0,7,9,6
ENSG00000004848,ARX,170302,13153,2816,4085,519,4346,12077,11161,12176,11344,11761,6812,3242,128,12731,15175,17,17,20820,1,0,5
ENSG00000004864,SLC25A13,10165,4252,5661,3004,4074,3009,2612,3110,4427,2174,2374,2247,1817,1236,1392,2295,1785,4818,1040,739,432,847
ENSG00000004866,ST7,102466616;93655;7982,4377,2895,4887,2735,2653,1897,2993,4622,2934,2467,3292,1679,3503,1554,4732,2398,2515,1472,1311,2070,2668
ENSG00000004897,CDC27,996,4637,5144,4074,4443,4193,5323,3333,3865,3042,4339,6703,3219,4037,3828,3844,4908,6788,3765,2469,2776,3929
ENSG00000004939,SLC4A1,6521,0,9,6,4,7,0,10,0,3,9,4,8,1,20,2,1,38,1,43,1,10
ENSG00000004948,CALCR,799,15,203,662,561,15,1,128,1,25,379,10,1703,2,3,5,8,425,1,2,0,1
ENSG00000004961,HCCS,3052,3550,2056,2230,1675,2109,1299,1165,2249,1440,1729,2210,626,1455,1234,1373,1858,2251,590,757,1967,1008
ENSG00000004975,DVL2,1856,2087,3801,2443,5233,6852,4217,6993,7476,4476,4859,4890,4538,1929,3365,2375,6854,6450,2600,2171,2652,2565
ENSG00000005001,PRSS22,64063,27,513,269,942,135,15,305,591,319,270,262,4,111,729,155,844,2241,1366,310,18,1
ENSG00000005007,UPF1,5976,12232,14715,9255,12518,9781,15380,12552,14248,9069,12556,18053,5105,7376,9299,10046,9858,12373,7682,5462,7077,11177
ENSG00000005020,SKAP2,8935,2529,3170,2653,2412,2356,797,2614,1948,1141,2133,2377,1507,1054,1220,892,3071,6127,528,992,1462,2232
ENSG00000005022,SLC25A5,292,50132,40954,23729,17913,12434,28133,19057,30279,16879,19756,21230,4814,10414,10635,18546,11087,24649,2009,3544,6016,5838
ENSG00000005059,CCDC109B,55013,492,549,745,411,544,1568,545,296,444,676,669,328,1357,331,1928,1400,2159,205,167,114,2678
ENSG00000005073,HOXA11,3207,2,0,0,0,1,0,7,7,0,2,19,0,0,1,0,0,47,0,0,0,3
ENSG00000005075,POLR2J,5439,8787,5154,5130,5818,4388,2025,5303,6024,4231,5221,4145,2202,5354,3610,6607,4584,7065,7419,3415,1903,3203
ENSG00000005100,DHX33,56919,806,1143,861,729,1649,1676,1825,1250,1473,1723,2216,2208,824,702,2076,1308,2935,2131,1091,1281,2442
ENSG00000005102,MEOX1,4222,184,24,187,59,14,66,1054,480,351,496,37,151,92,100,242,67,3404,12,53,49,325
ENSG00000005108,THSD7A,221981,1213,5103,1065,5190,1011,66,472,3685,655,1516,1142,706,9415,4062,1370,2712,1777,3089,694,273,375
