gene_id,gene_name,NCBI_Entrez_id,ICGC_0492,ICGC_0491,ICGC_0459,ICGC_0443,ICGC_0498,ICGC_0500,ICGC_0497,ICGC_0501,ICGC_0452,ICGC_0447,ICGC_0441,ICGC_0440,ICGC_0437,ICGC_0438,ICGC_0435,ICGC_0436,ICGC_0434,ICGC_0432,ICGC_0428,ICGC_0425,ICGC_0427
ENSG00000000003,TSPAN6,7105,89,171,210,113,534,550,74,1235,103,289,1183,330,92,240,826,594,159,476,204,190,2144
ENSG00000000005,TNMD,64102,1,2,0,146,2,4,422,1,1,2,9,6,3,0,1,12,1,3,4,0,215
ENSG00000000419,DPM1,8813,924,186,530,255,661,376,693,1043,101,401,1365,980,934,1653,791,1400,164,567,563,253,1052
ENSG00000000457,SCYL3,57147,415,153,193,185,363,745,305,459,95,632,621,539,815,1031,331,694,254,201,545,389,804
ENSG00000000460,C1orf112,55732,176,101,113,47,104,243,131,203,65,331,194,202,469,223,168,357,193,145,350,155,159
ENSG00000000938,FGR,2268,79,130,62,11,15,41,37,108,79,52,37,106,136,80,119,202,129,48,85,26,32
ENSG00000000971,CFH,3075,711,3166,626,140,526,1482,296,6142,1642,624,104,1394,1038,2040,4282,10001,1495,1857,621,431,486
ENSG00000001036,FUCA2,2519,957,302,1055,1321,1179,1820,1757,875,233,885,4359,1653,1540,2237,1029,3028,349,1776,1402,884,7518
ENSG00000001084,GCLC,2729,617,312,1471,495,2212,1548,1769,1851,371,1086,1261,1750,1855,1918,1019,5476,1445,1117,1599,878,3574
ENSG00000001167,NFYA,4800,396,419,484,196,420,984,327,847,164,663,669,905,671,625,904,917,587,423,681,514,757
ENSG00000001460,STPG1,90529,198,129,245,95,286,481,158,189,78,392,337,501,402,653,341,340,449,84,427,251,426
ENSG00000001461,NIPAL3,57185,1211,488,972,675,2291,2168,1781,1125,253,2758,2293,1469,1767,4454,2055,2825,1123,816,1131,1051,2653
ENSG00000001497,LAS1L,81887,505,320,426,278,696,813,1048,1105,166,1016,1260,834,745,1126,628,1885,1171,596,1037,415,897
ENSG00000001561,ENPP4,22875,3215,263,3126,1280,2710,2549,4815,6081,302,1028,4877,6132,1984,3412,4173,8924,439,2859,2127,1800,8360
ENSG00000001617,SEMA3F,6405,576,239,396,62,451,222,199,1816,54,213,358,199,686,216,984,445,92,653,276,197,186
ENSG00000001626,CFTR,1080,30,61,16,1,7,7232,78,317,2695,5802,2,2357,6,245,22,3244,10,48,208,11,1038
ENSG00000001629,ANKIB1,54467,2109,932,2262,1679,3793,3096,4639,3058,635,2890,6681,5746,4053,3987,2644,7396,1966,2909,3637,1829,8285
ENSG00000001630,CYP51A1,1595,3642,445,2845,2982,5520,2226,8907,4234,412,2890,11286,8706,5121,7825,6107,17149,1183,6073,6123,2055,11748
ENSG00000001631,KRIT1,889,1618,825,2612,1399,2262,2718,3472,1701,690,2943,5860,5250,4432,4504,2741,5139,2206,2453,3764,2032,7291
ENSG00000002016,RAD52,5893,255,267,283,115,217,515,92,412,120,633,293,293,1080,354,203,347,491,197,349,250,289
ENSG00000002079,MYH16,84176,1,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0,9,0,2,0,0
ENSG00000002330,BAD,572,278,123,297,200,387,487,450,544,66,278,587,736,414,452,327,826,419,317,355,153,466
ENSG00000002549,LAP3,51056,1151,520,771,509,881,797,1737,1676,203,691,1748,1138,1056,1579,1229,3677,848,1109,794,542,2198
ENSG00000002586,CD99,4267,2377,3387,2336,109,8073,8854,989,7155,1668,9417,717,4903,3954,9358,9819,11312,4136,3522,6239,6942,14077
ENSG00000002587,HS3ST1,9957,53,57,45,44,183,213,417,204,15,292,29,74,170,212,88,877,61,58,104,82,582
ENSG00000002726,AOC1,26,8,8,1,2,9,2,1,22,43,16,3,8,12,7,9,155,376,49,88,666,9
ENSG00000002745,WNT16,51384,0,1,0,0,1,3,13,58,1,5,134,1,1,0,5,9,3,0,0,2,100
ENSG00000002746,HECW1,23072,0,50,24,3,2,25,1,94,4,4,0,11,53,25,15,70,1,0,11,10,5
ENSG00000002822,MAD1L1,8379,215,238,167,117,383,529,343,365,130,539,551,354,764,452,1118,831,476,690,614,226,458
ENSG00000002834,LASP1,3927,3108,1542,1347,1531,4036,5166,3090,4050,504,4639,2941,2141,4105,5109,1831,8207,2304,2196,3125,1982,1967
ENSG00000002919,SNX11,29916,378,96,236,221,548,393,418,502,90,349,774,627,691,724,339,851,280,326,592,164,636
