gene,NumberOfProbesTotal,NumberOfProbesSameCat
ADM,3,3
AGPAT2,4,4
AMOTL1,2,2
ANGPTL2,2,2
ANKRD2,2,2
APOL1,2,2
BHLHE40,2,2
CAND2,2,2
CBX2,4,3
CCND1,6,5
CHD7,2,2
COL1A1,2,2
CORO2B,2,2
CRIM1,2,2
DNAH14,5,5
DNAH5,4,4
DPF3,2,2
EFNA3,2,2
EGLN3,2,2
ENO1,3,2
F10,2,2
F2,3,3
FAT1,5,5
FBXL16,3,1
FGFR3,4,4
FGFR4,4,4
FOXA1,3,3
GATA4,2,2
GLRX,2,2
HES4,2,2
ID3,3,3
IGFBP3,2,2
IGFBP4,3,3
IQSEC1,2,2
KIF19,7,6
KISS1R,2,2
LDHA,5,5
LDHB,6,6
LHFPL2,3,3
LITAF,2,2
MACROD1,2,2
MCF2L2,2,2
MEIS2,2,2
MFSD2A,2,2
MGMT,49,45
MTMR7,4,4
NDRG1,5,5
NFATC1,3,3
NFIX,3,3
NOX4,2,2
NPPA,3,3
NXPH4,2,2
PBX1,5,5
PDLIM4,11,11
PHYHIP,3,3
PIM3,3,3
PIPOX,2,2
PPFIBP2,2,2
PRKCZ,8,8
PROCR,5,5
PRSS12,2,2
PTP4A3,2,2
PYROXD2,2,2
RAI14,4,4
RPS6KA2,10,10
SAMD4A,2,2
SCHIP1,4,4
SDC1,2,2
SEMA7A,3,3
SERPINE1,4,4
SFRP1,7,7
SH2B2,2,2
SH3RF3,13,13
SHMT2,3,3
SLC12A2,2,2
SLC16A1,2,2
SLC16A3,8,8
SLC1A5,5,5
SLC2A1,3,3
SLC38A1,2,2
SLC43A3,2,2
SLC6A12,3,3
SLCO4A1,6,6
SPAG4,5,5
SPC25,7,2
SPON2,2,2
ST3GAL5,2,2
STAT3,3,2
STC2,3,3
STK32B,3,3
SULF2,2,2
TFF1,2,2
TFF3,2,2
TK1,2,2
TLR2,2,2
TREM1,3,3
TRIP13,5,5
TRPV2,2,2
TTC39C,2,2
TTYH3,6,6
TUBA1C,2,2
VSNL1,2,2
WBP2NL,2,2
ZBTB20,2,2
ZFPM1,3,3
ZNF311,3,3
ZNF469,2,2
ADCY8,1,1
AGR3,1,1
AMN,1,1
ARL4A,1,1
ASB15,1,1
BACE2,1,1
BARX1,1,1
BCL9,1,1
BMP2,1,1
CACNG6,1,1
CALD1,1,1
CATSPERB,1,1
CCNG2,1,1
CCNJL,1,1
CCRL2,1,1
CD300A,1,1
CD68,1,1
CD9,1,1
CDC42EP5,1,1
CHRNA3,1,1
CTHRC1,1,1
DLX5,1,1
DNAH1,1,1
DOK3,1,1
DRD2,1,1
EFNA1,1,1
EGFR,1,1
EHHADH,1,1
EMX2,1,1
FAM102B,1,1
FAM177B,1,1
FERMT3,1,1
FIBCD1,1,1
FSTL1,1,1
GAS2L3,1,1
GLYCTK,1,1
GNAL,1,1
GNAO1,2,1
GREM2,1,1
GRID2,1,1
HK2,1,1
HMCN1,1,1
IGF1R,1,1
ING5,1,1
ITGA5,1,1
JAG2,1,1
JAK3,1,1
KIRREL3,1,1
KLHL17,1,1
KLHL3,1,1
LMAN1,1,1
LOXL2,1,1
MATK,1,1
MEP1B,1,1
MKI67,1,1
MMP13,1,1
MPL,1,1
NAGS,1,1
NEK6,1,1
NLRP2,1,1
NRG3,1,1
NRP2,1,1
NTNG2,1,1
OPRM1,1,1
PAG1,1,1
PAQR4,1,1
PCOLCE,1,1
PDK1,1,1
PDLIM3,1,1
PHF19,1,1
PIAS2,1,1
PLCG2,1,1
PLEKHA4,1,1
PLK4,1,1
PLXNA4,1,1
PNPLA8,1,1
PTCH1,1,1
PTPRM,1,1
RAB38,1,1
RARRES1,1,1
RASGEF1A,1,1
RELL1,1,1
RFX1,1,1
RGS3,1,1
RHBDL1,1,1
RIMKLA,1,1
S100A4,1,1
SCUBE3,1,1
SDK1,1,1
SETD7,1,1
SHANK1,2,1
SKAP1,1,1
SLC22A1,1,1
SLC35D3,1,1
SLC35F4,1,1
SLC6A4,2,1
SLC7A5,1,1
SMOC1,1,1
SRRM4,1,1
SSC5D,1,1
ST18,1,1
SULF1,1,1
SYNJ2BP,1,1
TBX3,1,1
TGFBI,1,1
THBS1,1,1
TLL2,1,1
TMEFF2,1,1
TMPPE,1,1
TNFRSF19,1,1
TRIM68,1,1
TYMS,2,1
UBE2C,1,1
VSTM2A,1,1
WDR6,1,1
WDR86,1,1
