file,mapped_reads
T_1_1_L1,21744199
T_1_1_L2,21798497
T_1_2_L1,21868286
T_1_2_L2,21917970
T_1_3_L1,20692700
T_1_3_L2,20793197
T_1_4_L1,16244888
T_1_4_L2,16333430
T_1_5_L1,16493268
T_1_5_L2,16559099
T_1_6_L1,22794696
T_1_6_L2,22918065
T_1_7_L1,19259776
T_1_7_L2,19331725
T_1_8_L1,18447712
T_1_8_L2,18553842
T_2_1_L1,18998381
T_2_1_L2,19068153
T_2_2_L1,21922537
T_2_2_L2,22010520
T_2_3_L1,16774625
T_2_3_L2,16837309
T_2_4_L1,15965013
T_2_4_L2,16037850
T_2_5_L1,17486528
T_2_5_L2,17544115
T_2_6_L1,17862554
T_2_6_L2,17954745
T_2_7_L1,22310154
T_2_7_L2,22422274
T_2_8_L1,19235917
T_2_8_L2,19328308
T_3_1_L1,20891400
T_3_1_L2,20966828
T_3_2_L1,20470291
T_3_2_L2,20565557
T_3_3_L1,19354257
T_3_3_L2,19436985
T_3_4_L1,17462562
T_3_4_L2,17544403
T_3_5_L1,18365831
T_3_5_L2,18460116
T_3_6_L1,20261576
T_3_6_L2,20368705
T_4_1_L1,18593312
T_4_1_L2,18637097
T_4_2_L1,19876619
T_4_2_L2,19941439
T_4_3_L1,20465937
T_4_3_L2,20523586
