Started analysis of T_1_1_L1_R1.filt.fastq.gz
Started analysis of T_1_1_L1_R2.filt.fastq.gz
Started analysis of T_1_1_L2_R1.filt.fastq.gz
Started analysis of T_1_1_L2_R2.filt.fastq.gz
Started analysis of T_1_2_L1_R1.filt.fastq.gz
Started analysis of T_1_2_L1_R2.filt.fastq.gz
Approx 5% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 5% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 5% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 5% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 5% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 5% complete for T_1_2_L1_R2.filt.fastq.gz
Approx 10% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 10% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 10% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 10% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 10% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 15% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 15% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 15% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 15% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 10% complete for T_1_2_L1_R2.filt.fastq.gz
Approx 20% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 20% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 20% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 20% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 15% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 25% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 25% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 25% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 25% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 30% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 15% complete for T_1_2_L1_R2.filt.fastq.gz
Approx 30% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 20% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 35% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 30% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 30% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 35% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 40% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 20% complete for T_1_2_L1_R2.filt.fastq.gz
Approx 35% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 35% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 40% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 25% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 45% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 40% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 40% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 45% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 25% complete for T_1_2_L1_R2.filt.fastq.gz
Approx 30% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 50% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 45% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 50% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 30% complete for T_1_2_L1_R2.filt.fastq.gz
Approx 45% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 35% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 55% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 50% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 55% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 35% complete for T_1_2_L1_R2.filt.fastq.gz
Approx 50% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 60% complete for T_1_1_L1_R1.filt.fastq.gz
Approx 40% complete for T_1_1_L1_R2.filt.fastq.gz
Approx 55% complete for T_1_1_L2_R2.filt.fastq.gz
Approx 60% complete for T_1_1_L2_R1.filt.fastq.gz
Approx 55% complete for T_1_2_L1_R1.filt.fastq.gz
Approx 65% complete for T_1_1_L1_R1.filt.fastq.gz
