"run","step","sample","reads"
"A01975_24","filt_fastqc_230717","T_1_1_L1_R1.filt.fastq.gz",23756516
"A01975_24","filt_fastqc_230717","T_1_1_L1_R2.filt.fastq.gz",23756516
"A01975_24","filt_fastqc_230717","T_1_1_L2_R1.filt.fastq.gz",23823904
"A01975_24","filt_fastqc_230717","T_1_1_L2_R2.filt.fastq.gz",23823904
"A01975_24","filt_fastqc_230717","T_1_2_L1_R1.filt.fastq.gz",23901871
"A01975_24","filt_fastqc_230717","T_1_2_L1_R2.filt.fastq.gz",23901871
"A01975_24","filt_fastqc_230717","T_1_2_L2_R1.filt.fastq.gz",23962625
"A01975_24","filt_fastqc_230717","T_1_2_L2_R2.filt.fastq.gz",23962625
"A01975_24","filt_fastqc_230717","T_1_3_L1_R1.filt.fastq.gz",22894763
"A01975_24","filt_fastqc_230717","T_1_3_L1_R2.filt.fastq.gz",22894763
"A01975_24","filt_fastqc_230717","T_1_3_L2_R1.filt.fastq.gz",23011574
"A01975_24","filt_fastqc_230717","T_1_3_L2_R2.filt.fastq.gz",23011574
"A01975_24","filt_fastqc_230717","T_1_4_L1_R1.filt.fastq.gz",17862443
"A01975_24","filt_fastqc_230717","T_1_4_L1_R2.filt.fastq.gz",17862443
"A01975_24","filt_fastqc_230717","T_1_4_L2_R1.filt.fastq.gz",17962688
"A01975_24","filt_fastqc_230717","T_1_4_L2_R2.filt.fastq.gz",17962688
"A01975_24","filt_fastqc_230717","T_1_5_L1_R1.filt.fastq.gz",18279781
"A01975_24","filt_fastqc_230717","T_1_5_L1_R2.filt.fastq.gz",18279781
"A01975_24","filt_fastqc_230717","T_1_5_L2_R1.filt.fastq.gz",18355260
"A01975_24","filt_fastqc_230717","T_1_5_L2_R2.filt.fastq.gz",18355260
"A01975_24","filt_fastqc_230717","T_1_6_L1_R1.filt.fastq.gz",25005007
"A01975_24","filt_fastqc_230717","T_1_6_L1_R2.filt.fastq.gz",25005007
"A01975_24","filt_fastqc_230717","T_1_6_L2_R1.filt.fastq.gz",25144120
"A01975_24","filt_fastqc_230717","T_1_6_L2_R2.filt.fastq.gz",25144120
"A01975_24","filt_fastqc_230717","T_1_7_L1_R1.filt.fastq.gz",21391736
"A01975_24","filt_fastqc_230717","T_1_7_L1_R2.filt.fastq.gz",21391736
"A01975_24","filt_fastqc_230717","T_1_7_L2_R1.filt.fastq.gz",21477730
"A01975_24","filt_fastqc_230717","T_1_7_L2_R2.filt.fastq.gz",21477730
"A01975_24","filt_fastqc_230717","T_1_8_L1_R1.filt.fastq.gz",20612915
"A01975_24","filt_fastqc_230717","T_1_8_L1_R2.filt.fastq.gz",20612915
"A01975_24","filt_fastqc_230717","T_1_8_L2_R1.filt.fastq.gz",20737428
"A01975_24","filt_fastqc_230717","T_1_8_L2_R2.filt.fastq.gz",20737428
"A01975_24","filt_fastqc_230717","T_2_1_L1_R1.filt.fastq.gz",21650464
"A01975_24","filt_fastqc_230717","T_2_1_L1_R2.filt.fastq.gz",21650464
"A01975_24","filt_fastqc_230717","T_2_1_L2_R1.filt.fastq.gz",21741899
"A01975_24","filt_fastqc_230717","T_2_1_L2_R2.filt.fastq.gz",21741899
"A01975_24","filt_fastqc_230717","T_2_2_L1_R1.filt.fastq.gz",24120403
"A01975_24","filt_fastqc_230717","T_2_2_L1_R2.filt.fastq.gz",24120403
"A01975_24","filt_fastqc_230717","T_2_2_L2_R1.filt.fastq.gz",24225094
"A01975_24","filt_fastqc_230717","T_2_2_L2_R2.filt.fastq.gz",24225094
"A01975_24","filt_fastqc_230717","T_2_3_L1_R1.filt.fastq.gz",18539385
"A01975_24","filt_fastqc_230717","T_2_3_L1_R2.filt.fastq.gz",18539385
"A01975_24","filt_fastqc_230717","T_2_3_L2_R1.filt.fastq.gz",18615751
"A01975_24","filt_fastqc_230717","T_2_3_L2_R2.filt.fastq.gz",18615751
"A01975_24","filt_fastqc_230717","T_2_4_L1_R1.filt.fastq.gz",17703472
"A01975_24","filt_fastqc_230717","T_2_4_L1_R2.filt.fastq.gz",17703472
"A01975_24","filt_fastqc_230717","T_2_4_L2_R1.filt.fastq.gz",17785301
"A01975_24","filt_fastqc_230717","T_2_4_L2_R2.filt.fastq.gz",17785301
"A01975_24","filt_fastqc_230717","T_2_5_L1_R1.filt.fastq.gz",19737170
"A01975_24","filt_fastqc_230717","T_2_5_L1_R2.filt.fastq.gz",19737170
"A01975_24","filt_fastqc_230717","T_2_5_L2_R1.filt.fastq.gz",19807984
"A01975_24","filt_fastqc_230717","T_2_5_L2_R2.filt.fastq.gz",19807984
"A01975_24","filt_fastqc_230717","T_2_6_L1_R1.filt.fastq.gz",19901903
"A01975_24","filt_fastqc_230717","T_2_6_L1_R2.filt.fastq.gz",19901903
"A01975_24","filt_fastqc_230717","T_2_6_L2_R1.filt.fastq.gz",20011514
"A01975_24","filt_fastqc_230717","T_2_6_L2_R2.filt.fastq.gz",20011514
"A01975_24","filt_fastqc_230717","T_2_7_L1_R1.filt.fastq.gz",24391479
"A01975_24","filt_fastqc_230717","T_2_7_L1_R2.filt.fastq.gz",24391479
"A01975_24","filt_fastqc_230717","T_2_7_L2_R1.filt.fastq.gz",24517509
"A01975_24","filt_fastqc_230717","T_2_7_L2_R2.filt.fastq.gz",24517509
"A01975_24","filt_fastqc_230717","T_2_8_L1_R1.filt.fastq.gz",21398861
"A01975_24","filt_fastqc_230717","T_2_8_L1_R2.filt.fastq.gz",21398861
"A01975_24","filt_fastqc_230717","T_2_8_L2_R1.filt.fastq.gz",21505713
"A01975_24","filt_fastqc_230717","T_2_8_L2_R2.filt.fastq.gz",21505713
"A01975_24","filt_fastqc_230717","T_3_1_L1_R1.filt.fastq.gz",23138991
"A01975_24","filt_fastqc_230717","T_3_1_L1_R2.filt.fastq.gz",23138991
