"run","step","sample","reads"
"A01975_24","init_fastqc_221027","T_1_1_L1_R1.fastq.gz",25257146
"A01975_24","init_fastqc_221027","T_1_1_L1_R2.fastq.gz",25257146
"A01975_24","init_fastqc_221027","T_1_1_L2_R1.fastq.gz",25331984
"A01975_24","init_fastqc_221027","T_1_1_L2_R2.fastq.gz",25331984
"A01975_24","init_fastqc_221027","T_1_2_L1_R1.fastq.gz",25465232
"A01975_24","init_fastqc_221027","T_1_2_L1_R2.fastq.gz",25465232
"A01975_24","init_fastqc_221027","T_1_2_L2_R1.fastq.gz",25536256
"A01975_24","init_fastqc_221027","T_1_2_L2_R2.fastq.gz",25536256
"A01975_24","init_fastqc_221027","T_1_3_L1_R1.fastq.gz",24568706
"A01975_24","init_fastqc_221027","T_1_3_L1_R2.fastq.gz",24568706
"A01975_24","init_fastqc_221027","T_1_3_L2_R1.fastq.gz",24703910
"A01975_24","init_fastqc_221027","T_1_3_L2_R2.fastq.gz",24703910
"A01975_24","init_fastqc_221027","T_1_4_L1_R1.fastq.gz",19046823
"A01975_24","init_fastqc_221027","T_1_4_L1_R2.fastq.gz",19046823
"A01975_24","init_fastqc_221027","T_1_4_L2_R1.fastq.gz",19157898
"A01975_24","init_fastqc_221027","T_1_4_L2_R2.fastq.gz",19157898
"A01975_24","init_fastqc_221027","T_1_5_L1_R1.fastq.gz",19569478
"A01975_24","init_fastqc_221027","T_1_5_L1_R2.fastq.gz",19569478
"A01975_24","init_fastqc_221027","T_1_5_L2_R1.fastq.gz",19655690
"A01975_24","init_fastqc_221027","T_1_5_L2_R2.fastq.gz",19655690
"A01975_24","init_fastqc_221027","T_1_6_L1_R1.fastq.gz",26695639
"A01975_24","init_fastqc_221027","T_1_6_L1_R2.fastq.gz",26695639
"A01975_24","init_fastqc_221027","T_1_6_L2_R1.fastq.gz",26850687
"A01975_24","init_fastqc_221027","T_1_6_L2_R2.fastq.gz",26850687
"A01975_24","init_fastqc_221027","T_1_7_L1_R1.fastq.gz",23029972
"A01975_24","init_fastqc_221027","T_1_7_L1_R2.fastq.gz",23029972
"A01975_24","init_fastqc_221027","T_1_7_L2_R1.fastq.gz",23129122
"A01975_24","init_fastqc_221027","T_1_7_L2_R2.fastq.gz",23129122
"A01975_24","init_fastqc_221027","T_1_8_L1_R1.fastq.gz",22074399
"A01975_24","init_fastqc_221027","T_1_8_L1_R2.fastq.gz",22074399
"A01975_24","init_fastqc_221027","T_1_8_L2_R1.fastq.gz",22212906
"A01975_24","init_fastqc_221027","T_1_8_L2_R2.fastq.gz",22212906
"A01975_24","init_fastqc_221027","T_2_1_L1_R1.fastq.gz",23743555
"A01975_24","init_fastqc_221027","T_2_1_L1_R2.fastq.gz",23743555
"A01975_24","init_fastqc_221027","T_2_1_L2_R1.fastq.gz",23856605
"A01975_24","init_fastqc_221027","T_2_1_L2_R2.fastq.gz",23856605
"A01975_24","init_fastqc_221027","T_2_2_L1_R1.fastq.gz",25650228
"A01975_24","init_fastqc_221027","T_2_2_L1_R2.fastq.gz",25650228
"A01975_24","init_fastqc_221027","T_2_2_L2_R1.fastq.gz",25772399
"A01975_24","init_fastqc_221027","T_2_2_L2_R2.fastq.gz",25772399
"A01975_24","init_fastqc_221027","T_2_3_L1_R1.fastq.gz",19865810
"A01975_24","init_fastqc_221027","T_2_3_L1_R2.fastq.gz",19865810
"A01975_24","init_fastqc_221027","T_2_3_L2_R1.fastq.gz",19954132
"A01975_24","init_fastqc_221027","T_2_3_L2_R2.fastq.gz",19954132
"A01975_24","init_fastqc_221027","T_2_4_L1_R1.fastq.gz",18896217
"A01975_24","init_fastqc_221027","T_2_4_L1_R2.fastq.gz",18896217
"A01975_24","init_fastqc_221027","T_2_4_L2_R1.fastq.gz",18989218
"A01975_24","init_fastqc_221027","T_2_4_L2_R2.fastq.gz",18989218
"A01975_24","init_fastqc_221027","T_2_5_L1_R1.fastq.gz",21142663
"A01975_24","init_fastqc_221027","T_2_5_L1_R2.fastq.gz",21142663
"A01975_24","init_fastqc_221027","T_2_5_L2_R1.fastq.gz",21222972
"A01975_24","init_fastqc_221027","T_2_5_L2_R2.fastq.gz",21222972
"A01975_24","init_fastqc_221027","T_2_6_L1_R1.fastq.gz",21476673
"A01975_24","init_fastqc_221027","T_2_6_L1_R2.fastq.gz",21476673
"A01975_24","init_fastqc_221027","T_2_6_L2_R1.fastq.gz",21602331
"A01975_24","init_fastqc_221027","T_2_6_L2_R2.fastq.gz",21602331
"A01975_24","init_fastqc_221027","T_2_7_L1_R1.fastq.gz",26020061
