"run","step","sample","reads"
"A01975_24","trimmed_fastqc_230110","T_1_1_L1_R1.trimmed.fastq.gz",24906383
"A01975_24","trimmed_fastqc_230110","T_1_1_L1_R2.trimmed.fastq.gz",24906383
"A01975_24","trimmed_fastqc_230110","T_1_1_L2_R1.trimmed.fastq.gz",24977486
"A01975_24","trimmed_fastqc_230110","T_1_1_L2_R2.trimmed.fastq.gz",24977486
"A01975_24","trimmed_fastqc_230110","T_1_2_L1_R1.trimmed.fastq.gz",25134361
"A01975_24","trimmed_fastqc_230110","T_1_2_L1_R2.trimmed.fastq.gz",25134361
"A01975_24","trimmed_fastqc_230110","T_1_2_L2_R1.trimmed.fastq.gz",25200581
"A01975_24","trimmed_fastqc_230110","T_1_2_L2_R2.trimmed.fastq.gz",25200581
"A01975_24","trimmed_fastqc_230110","T_1_3_L1_R1.trimmed.fastq.gz",24164169
"A01975_24","trimmed_fastqc_230110","T_1_3_L1_R2.trimmed.fastq.gz",24164169
"A01975_24","trimmed_fastqc_230110","T_1_3_L2_R1.trimmed.fastq.gz",24293842
"A01975_24","trimmed_fastqc_230110","T_1_3_L2_R2.trimmed.fastq.gz",24293842
"A01975_24","trimmed_fastqc_230110","T_1_4_L1_R1.trimmed.fastq.gz",18759644
"A01975_24","trimmed_fastqc_230110","T_1_4_L1_R2.trimmed.fastq.gz",18759644
"A01975_24","trimmed_fastqc_230110","T_1_4_L2_R1.trimmed.fastq.gz",18865408
"A01975_24","trimmed_fastqc_230110","T_1_4_L2_R2.trimmed.fastq.gz",18865408
"A01975_24","trimmed_fastqc_230110","T_1_5_L1_R1.trimmed.fastq.gz",19216642
"A01975_24","trimmed_fastqc_230110","T_1_5_L1_R2.trimmed.fastq.gz",19216642
"A01975_24","trimmed_fastqc_230110","T_1_5_L2_R1.trimmed.fastq.gz",19298142
"A01975_24","trimmed_fastqc_230110","T_1_5_L2_R2.trimmed.fastq.gz",19298142
"A01975_24","trimmed_fastqc_230110","T_1_6_L1_R1.trimmed.fastq.gz",26237010
"A01975_24","trimmed_fastqc_230110","T_1_6_L1_R2.trimmed.fastq.gz",26237010
"A01975_24","trimmed_fastqc_230110","T_1_6_L2_R1.trimmed.fastq.gz",26384425
"A01975_24","trimmed_fastqc_230110","T_1_6_L2_R2.trimmed.fastq.gz",26384425
"A01975_24","trimmed_fastqc_230110","T_1_7_L1_R1.trimmed.fastq.gz",22491362
"A01975_24","trimmed_fastqc_230110","T_1_7_L1_R2.trimmed.fastq.gz",22491362
