gene_id	Length	T_1_1	T_1_2	T_1_3	T_1_4	T_1_5	T_1_6	T_1_7	T_1_8	T_2_1	T_2_2	T_2_3	T_2_4	T_2_5	T_2_6	T_2_7	T_2_8	T_3_1	T_3_2	T_3_3	T_3_4	T_3_5	T_3_6	T_4_1	T_4_2	T_4_3
ENSG00000111644	2816	69	56	61	30	35	75	127	18	312	15	40	13	101	95	79	64	27	70	258	212	94	57	17	36	35
ENSG00000117148	1844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000104755	2905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	35	0	252	1	269
ENSG00000168594	5957	22	20	9	0	49	2	35	30	13	116	35	64	29	7	0	36	20	8	7	6	43	20	18	0	18
ENSG00000111254	3672	147	30	135	99	70	160	70	12	51	45	109	63	63	98	56	41	23	116	160	111	27	29	94	49	31
ENSG00000147081	3027	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0
ENSG00000183831	4125	12	42	28	0	97	3	15	40	267	67	9	13	1	7	8	6	163	29	14	6	38	15	35	9	16
ENSG00000165309	6999	1	576	0	0	0	0	0	115	63	67	4	13	64	115	0	4	2292	16	8	7	9	609	0	0	357
ENSG00000004848	3114	1132	1724	539	5	2	3	2504	1822	3917	2	9	0	2174	2891	906	1786	901	4	1	0	467	1499	1890	7	2188
ENSG00000156802	7100	1401	975	739	483	975	912	1034	928	999	415	2486	4084	596	648	522	2705	318	1398	1154	1101	781	709	483	541	239
ENSG00000187172	4080	0	9	0	1	0	0	1	1	1	5	4	0	32	27	1	0	181	0	0	0	40	2	0	2	410
ENSG00000137948	4635	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0
ENSG00000183324	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154040	3484	5	456	28	42	2	131	32	195	50	247	83	94	133	91	3	83	244	55	36	34	29	146	51	57	217
ENSG00000164304	3511	3	3	2	4	4	14	8	3	4	8	7	1	3	19	4	1	7	8	3	5	4	4	7	0	2
ENSG00000269058	1431	2	2	2	0	0	1	1	0	2	0	3	0	2	0	0	1	0	0	8	2	0	0	0	1	1
ENSG00000137812	10250	45	748	25	22	41	181	38	192	158	226	29	59	43	118	18	53	130	73	45	37	113	156	76	93	69
ENSG00000168491	3534	162	177	270	249	264	444	53	110	274	180	153	112	104	86	16	129	137	258	287	215	126	79	56	172	86
ENSG00000140481	7030	0	243	10	6	0	1	1	17	180	3	48	4	26	51	5	4	323	64	44	26	35	83	0	3	94
